koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
1,-0.38185717,0.120517179,0.120521126,-0.190117444,-0.410646534,-0.326804924,-0.088195398,-0.078254464,-0.032914008,-0.362390326,0.524346064,-0.414091838,-0.053575793,-0.208639877,-0.406029686,0.516365268,-0.25353429,-0.274698826,-0.331158074,0.661048345,-0.500742521,-0.347410005,0.470683715,0.573963542,-0.330714156,0.365430362,0.965167999,-0.134347713,-0.303803397,-0.046893506,1.235396167,0.786027632,0.712023604,0.7626061,0.804981517,0.836871357,0.845304092,0.891521526,0.87196563,-0.519538534,-0.050263725,1.230680659,0.035754469,0.047427745,-0.000784448,0.003881406,0.005798008,0.089958882,-0.569201918,0.039734549,0.141234054,-0.526809899
1,0.013657218,-0.00539352,-0.005390985,-0.056071093,-0.188067645,-0.324032157,-0.086464612,-0.08197484,-0.032739571,0.272951133,0.518971544,-0.79516839,-0.054037315,0.153974191,-0.406029686,0.516365268,-0.251359989,-0.276484733,-0.3422385,0.661048345,-0.702894651,1.239110981,0.470683715,-0.707637225,-0.330714156,0.365430362,0.965167999,-0.134347713,-0.303803397,-0.046893506,1.235396167,0.786027632,0.712023604,0.7626061,0.804981517,0.836871357,0.845304092,0.891521526,0.87196563,-0.515278638,-0.050354855,1.230703076,-0.009525946,0.059646766,0.011928235,-0.000751791,0.156319101,0.019969057,-0.511666221,0.193888318,0.074519236,-0.472388768
1,-0.443146407,0.137098353,0.137105438,-0.021036252,-0.597816777,-0.326944097,-0.087664747,-0.102917195,-0.032764053,-0.52418116,0.270549275,0.253336523,-0.049027386,-0.318332511,0.44193164,-0.361872124,-0.253977816,-0.273690443,-0.325507056,-0.453551324,0.14372538,-0.347410005,-1.940786291,-0.133061936,0.365845695,0.300348464,0.718923403,-0.115893419,0.185677758,-0.716150137,1.259073696,0.900905272,0.793893266,0.903248729,0.940425895,1.025928876,1.061592889,1.134187314,1.107708085,2.594445026,-0.716359165,1.254316763,0.016958825,0.017512209,0.003354565,0.008329275,0.020850117,-0.011526364,-0.599483863,0.035974701,0.039406175,-0.602394804
1,-0.36771731,0.13091038,0.130907894,-0.070694332,-0.175498654,-0.317127002,-0.083741942,-0.129427194,-0.032412119,-0.315440585,0.431784882,-0.368362652,-0.053459866,-0.266354868,0.510933918,-0.501718843,-0.249039763,-0.268988656,-0.297141166,1.775648014,-0.581948933,-0.347410005,-1.940786291,-0.529288455,0.383985274,0.408070226,0.191256409,-0.127369199,0.068869755,0.869186175,1.258645227,1.046275125,0.937328914,1.051704838,1.092610588,1.186828893,1.184968893,1.172176527,1.247292433,-0.528058325,0.861393529,1.25388243,0.012259914,0.013720099,0.002763277,0.008977923,0.024613144,-0.004527382,-0.605540253,0.002136069,0.004293113,-0.599371408
1,-0.428984026,0.158810465,0.158804684,-0.002452553,-0.384402479,-0.326055527,-0.087026423,-0.135473107,-0.032757933,-0.476893651,0.169627728,-0.014505854,-0.051750792,-0.330558527,0.510933918,-0.501718843,-0.253115026,-0.27361467,-0.326282686,1.775648014,-0.331418515,1.239110981,-1.940786291,0.310936576,0.383985274,0.408070226,0.191256409,-0.127369199,0.068869755,0.869186175,1.258645227,1.046275125,0.937328914,1.051704838,1.092610588,1.186828893,1.184968893,1.172176527,1.247292433,-0.528058325,0.861415211,1.253846003,0.023366431,-0.005661797,-0.000193161,0.008977923,0.103636718,0.051464478,-0.55103275,0.077333029,0.053451399,-0.56611405
1,-0.442785516,0.261972101,0.261966319,-0.004585109,-0.486563244,-0.330969428,-0.090466398,-0.133144945,-0.033119048,-0.52418116,0.077066546,0.203252176,-0.049674325,-0.340257378,0.510933918,-0.501718843,-0.254393079,-0.27814742,-0.35420536,1.775648014,-0.132721977,2.825631966,-1.940786291,0.103362588,0.383985274,0.408070226,0.191256409,-0.127369199,0.068869755,0.869186175,1.258645227,1.046275125,0.937328914,1.051704838,1.092610588,1.186828893,1.184968893,1.172176527,1.247292433,-0.528058325,0.861412069,1.253896441,0.021657736,0.020461628,0.001580702,0.008977923,-0.114618867,-0.08501568,-0.493497053,-0.144498004,-0.069444316,-0.472388768
1,-0.323929142,0.16889233,0.168893342,-0.218754619,-0.327734282,-0.280834798,-0.075911141,-0.069009246,-0.031842904,-0.25937111,0.539872456,-0.624228337,-0.053919093,-0.126404553,-1.694072208,1.650988311,-0.235925247,-0.251421818,-0.191433902,1.775648014,-0.626871628,-0.347410005,0.470683715,-0.37117253,-0.843459602,0.405826022,1.035523598,-0.146598883,-0.631978263,-1.085663746,1.300965636,1.136333521,1.150190035,1.117764255,1.124569374,1.128100387,1.059308148,0.982230463,0.978204829,-0.259684913,-1.084108123,1.296213895,0.018795672,0.005967341,0.006015359,0.013518456,0.024989447,0.01471982,-0.616441753,0.011535689,0.042917481,-0.614186049
1,-0.443630373,-0.629078727,-0.629083483,0.014607892,-0.585076847,-0.181379168,-0.056872502,-0.105965085,-0.029615006,-0.530936518,0.210832383,0.180387583,-0.049927157,-0.320738782,0.184323136,-0.112944965,0.365986815,1.100739719,4.398521766,-0.453551324,0.000318313,-0.347410005,0.470683715,-0.42681285,0.110682277,0.342988328,0.261612008,-0.128609823,-0.159183965,-1.125871558,1.564378532,-2.056839389,-2.008669002,-2.075107557,-2.197622486,-2.284588957,-2.086779948,-2.078614685,-2.07636599,-0.528058325,-1.124126541,1.559798243,0.016394955,0.012312805,0.000398127,0.01620571,0.00617431,-0.08501568,-0.538919972,0.015295537,-0.062421704,-0.54192688
1,-0.445970852,-0.651119439,-0.651112219,-0.166354682,-0.276892351,-0.261992827,-0.071789033,-0.135360252,-0.028678555,-0.523505624,0.37803968,0.952339798,-0.031421151,-0.346664083,0.938748041,-1.017287078,0.007514799,0.544150627,6.217484499,-0.453551324,0.309593794,-0.347410005,0.470683715,-0.711946071,0.860451561,-0.63997275,0.965167999,0.024607342,1.170202354,0.019003859,1.187192012,-2.677320467,-2.533289795,-2.63270586,-10.69561577,-11.23545686,-2.602369791,-2.525181759,-2.473405914,-0.528058325,0.015315762,1.182315139,0.034413143,-0.0241378,-0.023696843,0.008977923,0.844953103,-1.131363562,0.572427438,0.769145066,-1.256265801,0.643244426
1,-0.434370803,-0.65487121,-0.654877815,-0.042361808,-0.376037995,-0.235442777,-0.066678743,-0.129820873,-0.02914066,-0.490742135,0.258008728,0.37854739,-0.047178075,-0.326590195,0.757808735,-0.790735394,-0.109062332,0.087790125,1.55883019,-0.453551324,-0.082615894,-0.347410005,0.470683715,0.536120631,0.600450923,-0.303342244,0.331967607,-0.053086787,0.288580046,-2.287911235,-0.358220085,-0.479044646,-0.600510816,-0.486840289,-0.480979143,-0.444697272,-0.301635795,-0.214817387,-0.178794324,-0.528058325,-2.280656095,-0.363977845,-0.006172633,0.005305828,0.002319811,0.012313825,0.014829273,0.015419718,-0.62370942,-0.00087181,0.094182551,-0.569742125
